Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"MK","Macro Indicators","686","Senegal","6224","Value Standard Local Currency","22008","Gross Domestic Product","2005","2005","million SLC","5804604.948747","X","Figure from external organization",""
"MK","Macro Indicators","686","Senegal","6224","Value Standard Local Currency","22008","Gross Domestic Product","2006","2006","million SLC","6111292.249282","X","Figure from external organization",""
"MK","Macro Indicators","686","Senegal","6224","Value Standard Local Currency","22008","Gross Domestic Product","2007","2007","million SLC","6698104.789508","X","Figure from external organization",""
"MK","Macro Indicators","686","Senegal","6224","Value Standard Local Currency","22008","Gross Domestic Product","2008","2008","million SLC","7516880.06491","X","Figure from external organization",""
"MK","Macro Indicators","686","Senegal","6224","Value Standard Local Currency","22008","Gross Domestic Product","2009","2009","million SLC","7593295.291504","X","Figure from external organization",""
"MK","Macro Indicators","686","Senegal","6224","Value Standard Local Currency","22008","Gross Domestic Product","2010","2010","million SLC","7976730","X","Figure from external organization",""
"MK","Macro Indicators","686","Senegal","6224","Value Standard Local Currency","22008","Gross Domestic Product","2011","2011","million SLC","8394960","X","Figure from external organization",""
"MK","Macro Indicators","686","Senegal","6224","Value Standard Local Currency","22008","Gross Domestic Product","2012","2012","million SLC","9016870","X","Figure from external organization",""
"MK","Macro Indicators","686","Senegal","6224","Value Standard Local Currency","22008","Gross Domestic Product","2013","2013","million SLC","9343920","X","Figure from external organization",""
"MK","Macro Indicators","686","Senegal","6224","Value Standard Local Currency","22008","Gross Domestic Product","2014","2014","million SLC","9775039","X","Figure from external organization",""
"MK","Macro Indicators","686","Senegal","6224","Value Standard Local Currency","22008","Gross Domestic Product","2015","2015","million SLC","10508700","X","Figure from external organization",""
"MK","Macro Indicators","686","Senegal","6224","Value Standard Local Currency","22008","Gross Domestic Product","2016","2016","million SLC","11283400","X","Figure from external organization",""
"MK","Macro Indicators","686","Senegal","6224","Value Standard Local Currency","22008","Gross Domestic Product","2017","2017","million SLC","12191800","X","Figure from external organization",""
"MK","Macro Indicators","686","Senegal","6224","Value Standard Local Currency","22008","Gross Domestic Product","2018","2018","million SLC","12840100","X","Figure from external organization",""
"MK","Macro Indicators","686","Senegal","6224","Value Standard Local Currency","22008","Gross Domestic Product","2019","2019","million SLC","13712659","X","Figure from external organization",""
"MK","Macro Indicators","686","Senegal","6224","Value Standard Local Currency","22008","Gross Domestic Product","2020","2020","million SLC","14119420","X","Figure from external organization",""
"MK","Macro Indicators","686","Senegal","6224","Value Standard Local Currency","22008","Gross Domestic Product","2021","2021","million SLC","15261119","X","Figure from external organization",""
"MK","Macro Indicators","686","Senegal","6224","Value Standard Local Currency","22008","Gross Domestic Product","2022","2022","million SLC","17227918","X","Figure from external organization",""
"MK","Macro Indicators","686","Senegal","6224","Value Standard Local Currency","22008","Gross Domestic Product","2023","2023","million SLC","18444650.042124","X","Figure from external organization",""
"MK","Macro Indicators","686","Senegal","6224","Value Standard Local Currency","22008","Gross Domestic Product","2024","2024","million SLC","19381403.615435","E","Estimated value",""
